strain	genbank_accession	date	country	host	completeness	length	Nextstrain_clade_usher	Lineage
CHN/ZJCDC267/2023|C_AA005848.1|2023-01-16		2023/1/16	China	Homo sapiens	Complete	29640	22B (Omicron)	BF.7.14
CHN/ZJCDC273/2023|C_AA005854.1|2023-01-16		2023/1/16	China	Homo sapiens	Complete	29686	22B (Omicron)	BF.7.14
CHN/ZJCDC280/2023|C_AA005861.1|2023-01-29		2023/1/29	China	Homo sapiens	Complete	29644	22B (Omicron)	BF.7.14
CHN/ZJCDC285/2023|C_AA005866.1|2023-01-29		2023/1/29	China	Homo sapiens	Complete	29648	22B (Omicron)	BF.7.14
CHN/ZJCDC288/2023|C_AA005869.1|2023-01-29		2023/1/29	China	Homo sapiens	Complete	29820	22B (Omicron)	BF.7.14
CHN/ZJCDC290/2023|C_AA005871.1|2023-01-29		2023/1/29	China	Homo sapiens	Complete	29821	22B (Omicron)	BF.7.14
CHN/ZJCDC291/2023|C_AA005872.1|2023-01-29		2023/1/29	China	Homo sapiens	Complete	29646	22B (Omicron)	BF.7.14
CHN/ZJCDC294/2023|C_AA005875.1|2023-01-29		2023/1/29	China	Homo sapiens	Complete	29833	22B (Omicron)	BF.7.14
CHN/ZJCDC295/2023|C_AA005876.1|2023-01-29		2023/1/29	China	Homo sapiens	Complete	29832	22B (Omicron)	BF.7.14
CHN/ZJCDC298/2023|C_AA005879.1|2023-01-31		2023/1/31	China	Homo sapiens	Complete	29865	22B (Omicron)	BF.7.14
CHN/ZJCDC312/2023|C_AA005893.1|2023-01-14		2023/1/14	China	Homo sapiens	Complete	29709	22B (Omicron)	BF.7.14
CHN/ZJCDC313/2023|C_AA005894.1|2023-01-16		2023/1/16	China	Homo sapiens	Complete	29709	22B (Omicron)	BF.7.14
CHN/ZJCDC315/2023|C_AA005896.1|2023-01-28		2023/1/28	China	Homo sapiens	Complete	29696	22B (Omicron)	BF.7.14
CHN/ZJCDC328/2023|C_AA005909.1|2023-01-28		2023/1/28	China	Homo sapiens	Complete	29821	22B (Omicron)	BF.7.14
CHN/ZJCDC344/2023|C_AA005925.1|2023-01-24		2023/1/24	China	Homo sapiens	Complete	29786	22B (Omicron)	BF.7.14
CHN/ZJCDC346/2023|C_AA005927.1|2023-01-08		2023/1/8	China	Homo sapiens	Complete	29795	22B (Omicron)	BF.7.14
CHN/ZJCDC347/2023|C_AA005928.1|2023-01-18		2023/1/18	China	Homo sapiens	Complete	29778	22B (Omicron)	BF.7.14
CHN/ZJCDC348/2023|C_AA005929.1|2023-01-15		2023/1/15	China	Homo sapiens	Complete	29795	22B (Omicron)	BF.7.14
CHN/ZJCDC361/2023|C_AA005942.1|2023-01-08		2023/1/8	China	Homo sapiens	Complete	29790	22B (Omicron)	BF.7.14
CHN/ZJCDC362/2023|C_AA005943.1|2023-01-18		2023/1/18	China	Homo sapiens	Complete	29791	22B (Omicron)	BF.7.14
CHN/ZJCDC368/2023|C_AA005949.1|2023-01-16		2023/1/16	China	Homo sapiens	Complete	29648	22B (Omicron)	BF.7.14
CHN/ZJCDC374/2023|C_AA005955.1|2023-01-04		2023/1/4	China	Homo sapiens	Complete	29812	22B (Omicron)	BF.7.14
CHN/ZJCDC375/2023|C_AA005956.1|2023-01-08		2023/1/8	China	Homo sapiens	Complete	29812	22B (Omicron)	BF.7.14
CHN/ZJCDC377/2023|C_AA005958.1|2023-01-02		2023/1/2	China	Homo sapiens	Complete	29807	22B (Omicron)	BF.7.14
CHN/ZJCDC381/2023|C_AA005962.1|2023-01-17		2023/1/17	China	Homo sapiens	Complete	29812	22B (Omicron)	BF.7.14
CHN/ZJCDC382/2023|C_AA005963.1|2023-01-08		2023/1/8	China	Homo sapiens	Complete	29812	22B (Omicron)	BF.7.14
CHN/ZJCDC396/2023|C_AA005977.1|2023-01-31		2023/1/31	China	Homo sapiens	Complete	29647	22B (Omicron)	BF.7.14
CHN/ZJCDC406/2023|C_AA005987.1|2023-02-02		2023/2/2	China	Homo sapiens	Complete	29822	22B (Omicron)	BF.7.14
CHN/ZJCDC409/2023|C_AA005990.1|2023-02-03		2023/2/3	China	Homo sapiens	Complete	29648	22B (Omicron)	BF.7.14
CHN/ZJCDC414/2023|C_AA005995.1|2023-02-05		2023/2/5	China	Homo sapiens	Complete	29844	22B (Omicron)	BF.7.14
CHN/ZJCDC415/2023|C_AA005996.1|2023-02-05		2023/2/5	China	Homo sapiens	Complete	29647	22B (Omicron)	BF.7.14
CHN/ZJCDC416/2023|C_AA005997.1|2023-02-05		2023/2/5	China	Homo sapiens	Complete	29647	22B (Omicron)	BF.7.14
CHN/ZJCDC430/2023|C_AA006011.1|2023-02-06		2023/2/6	China	Homo sapiens	Complete	29676	22B (Omicron)	BF.7.14
CHN/ZJCDC433/2023|C_AA006014.1|2023-02-06		2023/2/6	China	Homo sapiens	Complete	29754	22B (Omicron)	BF.7.14
CHN/ZJCDC447/2023|C_AA006028.1|2023-02-24		2023/2/24	China	Homo sapiens	Complete	29649	22B (Omicron)	BF.7.14
CHN/ZJCDC455/2023|C_AA006036.1|2023-02-24		2023/2/24	China	Homo sapiens	Complete	29708	22B (Omicron)	BF.7.14
CHN/ZJCDC458/2023|C_AA006039.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29636	22B (Omicron)	BF.7.14
CHN/ZJCDC462/2023|C_AA006043.1|2023-02-24		2023/2/24	China	Homo sapiens	Complete	29690	22B (Omicron)	BF.7.14
CHN/ZJCDC464/2023|C_AA006045.1|2023-02-24		2023/2/24	China	Homo sapiens	Complete	29632	22B (Omicron)	BF.7.14
CHN/ZJCDC476/2023|C_AA006057.1|2023-02-26		2023/2/26	China	Homo sapiens	Complete	29768	22B (Omicron)	BF.7.14
CHN/ZJCDC484/2023|C_AA006065.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29706	22B (Omicron)	BF.7.14
CHN/ZJCDC495/2023|C_AA006076.1|2023-03-03		2023/3/3	China	Homo sapiens	Complete	29649	22B (Omicron)	BF.7.14
CHN/ZJCDC503/2023|C_AA006084.1|2023-03-05		2023/3/5	China	Homo sapiens	Complete	29652	22B (Omicron)	BF.7.14
CHN/ZJCDC515/2023|C_AA006096.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29809	22B (Omicron)	BF.7.14
CHN/ZJCDC516/2023|C_AA006097.1|2023-02-28		2023/2/28	China	Homo sapiens	Complete	29778	22B (Omicron)	BF.7.14
CHN/ZJCDC517/2023|C_AA006098.1|2023-03-03		2023/3/3	China	Homo sapiens	Complete	29801	22B (Omicron)	BF.7.14
CHN/ZJCDC519/2023|C_AA006100.1|2023-03-02		2023/3/2	China	Homo sapiens	Complete	29799	22B (Omicron)	BF.7.14
CHN/ZJCDC521/2023|C_AA006102.1|2023-03-03		2023/3/3	China	Homo sapiens	Complete	29786	22B (Omicron)	BF.7.14
CHN/ZJCDC526/2023|C_AA006107.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29799	22B (Omicron)	BF.7.14
CHN/ZJCDC531/2023|C_AA006112.1|2023-03-07		2023/3/7	China	Homo sapiens	Complete	29634	22B (Omicron)	BF.7.14
CHN/ZJCDC532/2023|C_AA006113.1|2023-03-08		2023/3/8	China	Homo sapiens	Complete	29624	22B (Omicron)	BF.7.14
CHN/ZJCDC533/2023|C_AA006114.1|2023-03-08		2023/3/8	China	Homo sapiens	Complete	29631	22B (Omicron)	BF.7.14
CHN/ZJCDC534/2023|C_AA006115.1|2023-03-08		2023/3/8	China	Homo sapiens	Complete	29626	22B (Omicron)	BF.7.14
CHN/ZJCDC535/2023|C_AA006116.1|2023-03-08		2023/3/8	China	Homo sapiens	Complete	29596	22B (Omicron)	BF.7.14
CHN/ZJCDC536/2023|C_AA006117.1|2023-03-08		2023/3/8	China	Homo sapiens	Complete	29628	22B (Omicron)	BF.7.14
CHN/ZJCDC537/2023|C_AA006118.1|2023-03-09		2023/3/9	China	Homo sapiens	Complete	29629	22B (Omicron)	BF.7.14
CHN/ZJCDC559/2023|C_AA006140.1|2023-03-13		2023/3/13	China	Homo sapiens	Complete	29651	22B (Omicron)	BF.7.14
CHN/ZJCDC577/2023|C_AA006158.1|2023-03-13		2023/3/13	China	Homo sapiens	Complete	29768	22B (Omicron)	BF.7.14
CHN/ZJCDC582/2023|C_AA006163.1|2023-03-13		2023/3/13	China	Homo sapiens	Complete	29673	22B (Omicron)	BF.7.14
CHN/ZJCDC589/2023|C_AA006170.1|2023-03-11		2023/3/11	China	Homo sapiens	Complete	29647	22B (Omicron)	BF.7.14
CHN/ZJCDC595/2023|C_AA006176.1|2023-03-10		2023/3/10	China	Homo sapiens	Complete	29709	22B (Omicron)	BF.7.14
CHN/ZJCDC605/2023|C_AA006186.1|2023-03-13		2023/3/13	China	Homo sapiens	Complete	29633	22B (Omicron)	BF.7.14
CHN/ZJCDC606/2023|C_AA006187.1|2023-03-13		2023/3/13	China	Homo sapiens	Complete	29628	22B (Omicron)	BF.7.14
CHN/ZJCDC608/2023|C_AA006189.1|2023-03-13		2023/3/13	China	Homo sapiens	Complete	29629	22B (Omicron)	BF.7.14
CHN/ZJCDC610/2023|C_AA006191.1|2023-03-13		2023/3/13	China	Homo sapiens	Complete	29628	22B (Omicron)	BF.7.14
CHN/ZJCDC611/2023|C_AA006192.1|2023-03-13		2023/3/13	China	Homo sapiens	Complete	29628	22B (Omicron)	BF.7.14
CHN/ZJCDC616/2023|C_AA006197.1|2023-03-16		2023/3/16	China	Homo sapiens	Complete	29879	22B (Omicron)	BF.7.14
CHN/ZJCDC617/2023|C_AA006198.1|2023-03-16		2023/3/16	China	Homo sapiens	Complete	29879	22B (Omicron)	BF.7.14
CHN/ZJCDC624/2023|C_AA006205.1|2023-03-16		2023/3/16	China	Homo sapiens	Complete	29879	22B (Omicron)	BF.7.14
CHN/ZJCDC627/2023|C_AA006208.1|2023-03-17		2023/3/17	China	Homo sapiens	Complete	29879	22B (Omicron)	BF.7.14
CHN/ZJCDC628/2023|C_AA006209.1|2023-03-17		2023/3/17	China	Homo sapiens	Complete	29879	22B (Omicron)	BF.7.14
CHN/ZJCDC629/2023|C_AA006210.1|2023-03-17		2023/3/17	China	Homo sapiens	Complete	29879	22B (Omicron)	BF.7.14
CHN/ZJCDC630/2023|C_AA006211.1|2023-03-17		2023/3/17	China	Homo sapiens	Complete	29879	22B (Omicron)	BF.7.14
CHN/ZJCDC632/2023|C_AA006213.1|2023-03-16		2023/3/16	China	Homo sapiens	Complete	29844	22B (Omicron)	BF.7.14
CHN/ZJCDC633/2023|C_AA006214.1|2023-03-16		2023/3/16	China	Homo sapiens	Complete	29844	22B (Omicron)	BF.7.14
CHN/ZJCDC634/2023|C_AA006215.1|2023-03-16		2023/3/16	China	Homo sapiens	Complete	29844	22B (Omicron)	BF.7.14
CHN/ZJCDC635/2023|C_AA006216.1|2023-03-16		2023/3/16	China	Homo sapiens	Complete	29844	22B (Omicron)	BF.7.14
CHN/ZJCDC637/2023|C_AA006218.1|2023-03-17		2023/3/17	China	Homo sapiens	Complete	29844	22B (Omicron)	BF.7.14
CHN/ZJCDC638/2023|C_AA006219.1|2023-03-20		2023/3/20	China	Homo sapiens	Complete	29648	22B (Omicron)	BF.7.14
CHN/ZJCDC640/2023|C_AA006221.1|2023-03-16		2023/3/16	China	Homo sapiens	Complete	29649	22B (Omicron)	BF.7.14
CHN/ZJCDC653/2023|C_AA006234.1|2023-03-19		2023/3/19	China	Homo sapiens	Complete	29647	22B (Omicron)	BF.7.14
CHN/ZJCDC654/2023|C_AA006235.1|2023-03-19		2023/3/19	China	Homo sapiens	Complete	29809	22B (Omicron)	BF.7.14
CHN/ZJCDC659/2023|C_AA006240.1|2023-03-17		2023/3/17	China	Homo sapiens	Complete	29654	22B (Omicron)	BF.7.14
CHN/ZJCDC663/2023|C_AA006244.1|2023-03-19		2023/3/19	China	Homo sapiens	Complete	29629	22B (Omicron)	BF.7.14
CHN/ZJCDC665/2023|C_AA006246.1|2023-03-20		2023/3/20	China	Homo sapiens	Complete	29580	22B (Omicron)	BF.7.14
CHN/ZJCDC669/2023|C_AA007864.1|2023-03-29		2023/3/29	China	Homo sapiens	Complete	29717	22B (Omicron)	BF.7.14
CHN/ZJCDC678/2023|C_AA007873.1|2023-03-27		2023/3/27	China	Homo sapiens	Complete	29750	22B (Omicron)	BF.7.14
CHN/ZJCDC691/2023|C_AA008773.1|2023-04-03		2023/4/3	China	Homo sapiens	Complete	29651	22B (Omicron)	BF.7.14
CHN/ZJCDC692/2023|C_AA008774.1|2023-04-03		2023/4/3	China	Homo sapiens	Complete	29652	22B (Omicron)	BF.7.14
CHN/ZJCDC693/2023|C_AA008775.1|2023-04-03		2023/4/3	China	Homo sapiens	Complete	29651	22B (Omicron)	BF.7.14
CHN/ZJCDC694/2023|C_AA008776.1|2023-04-01		2023/4/1	China	Homo sapiens	Complete	29651	22B (Omicron)	BF.7.14
CHN/ZJCDC695/2023|C_AA008777.1|2023-03-31		2023/3/31	China	Homo sapiens	Complete	29648	22B (Omicron)	BF.7.14
CHN/ZJCDC697/2023|C_AA008779.1|2023-04-05		2023/4/5	China	Homo sapiens	Complete	29700	22B (Omicron)	BF.7.14
CHN/ZJCDC699/2023|C_AA008781.1|2023-04-05		2023/4/5	China	Homo sapiens	Complete	29808	22B (Omicron)	BF.7.14
CHN/ZJCDC700/2023|C_AA008782.1|2023-04-05		2023/4/5	China	Homo sapiens	Complete	29813	22B (Omicron)	BF.7.14
CHN/ZJCDC702/2023|C_AA008784.1|2023-04-05		2023/4/5	China	Homo sapiens	Complete	29688	22B (Omicron)	BF.7.14
CHN/ZJCDC703/2023|C_AA008785.1|2023-04-05		2023/4/5	China	Homo sapiens	Complete	29694	22B (Omicron)	BF.7.14
CHN/ZJCDC705/2023|C_AA008787.1|2023-04-05		2023/4/5	China	Homo sapiens	Complete	29694	22B (Omicron)	BF.7.14
CHN/ZJCDC706/2023|C_AA008788.1|2023-04-05		2023/4/5	China	Homo sapiens	Complete	29805	22B (Omicron)	BF.7.14
CHN/ZJCDC707/2023|C_AA008789.1|2023-03-31		2023/3/31	China	Homo sapiens	Complete	29696	22B (Omicron)	BF.7.14
CHN/ZJCDC716/2023|C_AA008798.1|2023-03-31		2023/3/31	China	Homo sapiens	Complete	29694	22B (Omicron)	BF.7.14
CHN/ZJCDC720/2023|C_AA008802.1|2023-03-31		2023/3/31	China	Homo sapiens	Complete	29620	22B (Omicron)	BF.7.14
CHN/ZJCDC723/2023|C_AA008805.1|2023-03-31		2023/3/31	China	Homo sapiens	Complete	29700	22B (Omicron)	BF.7.14
CHN/ZJCDC731/2023|C_AA008813.1|2023-04-02		2023/4/2	China	Homo sapiens	Complete	29700	22B (Omicron)	BF.7.14
CHN/ZJCDC733/2023|C_AA009597.1|2023-04-05		2023/4/5	China	Homo sapiens	Complete	29700	22B (Omicron)	BF.7.14
CHN/ZJCDC735/2023|C_AA009599.1|2023-04-05		2023/4/5	China	Homo sapiens	Complete	29808	22B (Omicron)	BF.7.14
CHN/ZJCDC736/2023|C_AA009600.1|2023-04-05		2023/4/5	China	Homo sapiens	Complete	29813	22B (Omicron)	BF.7.14
CHN/ZJCDC738/2023|C_AA009602.1|2023-04-05		2023/4/5	China	Homo sapiens	Complete	29688	22B (Omicron)	BF.7.14
CHN/ZJCDC739/2023|C_AA009603.1|2023-04-05		2023/4/5	China	Homo sapiens	Complete	29694	22B (Omicron)	BF.7.14
CHN/ZJCDC741/2023|C_AA009605.1|2023-04-05		2023/4/5	China	Homo sapiens	Complete	29694	22B (Omicron)	BF.7.14
CHN/ZJCDC742/2023|C_AA009606.1|2023-04-05		2023/4/5	China	Homo sapiens	Complete	29805	22B (Omicron)	BF.7.14
CHN/ZJCDC743/2023|C_AA009607.1|2023-04-03		2023/4/3	China	Homo sapiens	Complete	29651	22B (Omicron)	BF.7.14
CHN/ZJCDC744/2023|C_AA009608.1|2023-04-03		2023/4/3	China	Homo sapiens	Complete	29652	22B (Omicron)	BF.7.14
CHN/ZJCDC745/2023|C_AA009609.1|2023-04-03		2023/4/3	China	Homo sapiens	Complete	29651	22B (Omicron)	BF.7.14
CHN/ZJCDC746/2023|C_AA009610.1|2023-04-01		2023/4/1	China	Homo sapiens	Complete	29651	22B (Omicron)	BF.7.14
CHN/ZJCDC747/2023|C_AA009611.1|2023-03-31		2023/3/31	China	Homo sapiens	Complete	29648	22B (Omicron)	BF.7.14
CHN/ZJCDC749/2023|C_AA009613.1|2023-03-31		2023/3/31	China	Homo sapiens	Complete	29696	22B (Omicron)	BF.7.14
CHN/ZJCDC758/2023|C_AA009622.1|2023-03-31		2023/3/31	China	Homo sapiens	Complete	29694	22B (Omicron)	BF.7.14
CHN/ZJCDC762/2023|C_AA009626.1|2023-03-31		2023/3/31	China	Homo sapiens	Complete	29620	22B (Omicron)	BF.7.14
CHN/ZJCDC765/2023|C_AA009629.1|2023-03-31		2023/3/31	China	Homo sapiens	Complete	29700	22B (Omicron)	BF.7.14
CHN/ZJCDC773/2023|C_AA009637.1|2023-04-02		2023/4/2	China	Homo sapiens	Complete	29700	22B (Omicron)	BF.7.14
CHN/ZJCDC776/2023|C_AA009640.1|2023-04-06		2023/4/6	China	Homo sapiens	Complete	29718	22B (Omicron)	BF.7.14
CHN/ZJCDC777/2023|C_AA009641.1|2023-04-06		2023/4/6	China	Homo sapiens	Complete	29709	22B (Omicron)	BF.7.14
CHN/ZJCDC778/2023|C_AA009642.1|2023-04-06		2023/4/6	China	Homo sapiens	Complete	29709	22B (Omicron)	BF.7.14
CHN/ZJCDC779/2023|C_AA009643.1|2023-04-06		2023/4/6	China	Homo sapiens	Complete	29709	22B (Omicron)	BF.7.14
CHN/ZJCDC780/2023|C_AA009644.1|2023-04-06		2023/4/6	China	Homo sapiens	Complete	29735	22B (Omicron)	BF.7.14
CHN/ZJCDC781/2023|C_AA009645.1|2023-04-06		2023/4/6	China	Homo sapiens	Complete	29718	22B (Omicron)	BF.7.14
CHN/ZJCDC784/2023|C_AA009648.1|2023-04-06		2023/4/6	China	Homo sapiens	Complete	29709	22B (Omicron)	BF.7.14
CHN/ZJCDC785/2023|C_AA009649.1|2023-04-06		2023/4/6	China	Homo sapiens	Complete	29732	22B (Omicron)	BF.7.14
CHN/ZJCDC786/2023|C_AA009650.1|2023-04-06		2023/4/6	China	Homo sapiens	Complete	29709	22B (Omicron)	BF.7.14
CHN/ZJCDC788/2023|C_AA009652.1|2023-04-06		2023/4/6	China	Homo sapiens	Complete	29709	22B (Omicron)	BF.7.14
CHN/ZJCDC789/2023|C_AA009653.1|2023-04-06		2023/4/6	China	Homo sapiens	Complete	29709	22B (Omicron)	BF.7.14
CHN/ZJCDC804/2023|C_AA009668.1|2023-04-07		2023/4/7	China	Homo sapiens	Complete	29687	22B (Omicron)	BF.7.14
CHN/ZJCDC808/2023|C_AA009672.1|2023-04-07		2023/4/7	China	Homo sapiens	Complete	29814	22B (Omicron)	BF.7.14
CHN/ZJCDC811/2023|C_AA009675.1|2023-04-07		2023/4/7	China	Homo sapiens	Complete	29791	22B (Omicron)	BF.7.14
CHN/ZJCDC812/2023|C_AA009676.1|2023-04-07		2023/4/7	China	Homo sapiens	Complete	29797	22B (Omicron)	BF.7.14
CHN/ZJCDC815/2023|C_AA009679.1|2023-04-07		2023/4/7	China	Homo sapiens	Complete	29782	22B (Omicron)	BF.7.14
CHN/ZJCDC816/2023|C_AA009680.1|2023-04-09		2023/4/9	China	Homo sapiens	Complete	29804	22B (Omicron)	BF.7.14
CHN/ZJCDC817/2023|C_AA009681.1|2023-04-08		2023/4/8	China	Homo sapiens	Complete	29804	22B (Omicron)	BF.7.14
CHN/ZJCDC818/2023|C_AA009682.1|2023-04-08		2023/4/8	China	Homo sapiens	Complete	29774	22B (Omicron)	BF.7.14
CHN/ZJCDC823/2023|C_AA009687.1|2023-04-08		2023/4/8	China	Homo sapiens	Complete	29626	22B (Omicron)	BF.7.14
CHN/ZJCDC825/2023|C_AA009689.1|2023-04-08		2023/4/8	China	Homo sapiens	Complete	29647	22B (Omicron)	BF.7.14
CHN/ZJCDC830/2023|C_AA009694.1|2023-04-07		2023/4/7	China	Homo sapiens	Complete	29660	22B (Omicron)	BF.7.14
CHN/ZJCDC841/2023|C_AA011444.1|2023-04-09		2023/4/9	China	Homo sapiens	Complete	29709	22B (Omicron)	BF.7.14
CHN/ZJCDC843/2023|C_AA011446.1|2023-04-07		2023/4/7	China	Homo sapiens	Complete	29718	22B (Omicron)	BF.7.14
CHN/ZJCDC847/2023|C_AA011450.1|2023-04-06		2023/4/6	China	Homo sapiens	Complete	29718	22B (Omicron)	BF.7.14
CHN/ZJCDC848/2023|C_AA011451.1|2023-04-07		2023/4/7	China	Homo sapiens	Complete	29718	22B (Omicron)	BF.7.14
CHN/ZJCDC850/2023|C_AA011453.1|2023-04-12		2023/4/12	China	Homo sapiens	Complete	29718	22B (Omicron)	BF.7.14
CHN/ZJCDC851/2023|C_AA011454.1|2023-04-12		2023/4/12	China	Homo sapiens	Complete	29718	22B (Omicron)	BF.7.14
CHN/ZJCDC852/2023|C_AA011455.1|2023-04-12		2023/4/12	China	Homo sapiens	Complete	29718	22B (Omicron)	BF.7.14
CHN/ZJK-129/2023|C_AA006516.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29685	22B (Omicron)	BF.7.14
CHN/ZJK-131/2023|C_AA006518.1|2023-02-25		2023/2/25	China	Homo sapiens	Complete	29685	22B (Omicron)	BF.7.14
CHN/ZJK-132/2023|C_AA006519.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29685	22B (Omicron)	BF.7.14
CHN/ZJK-133/2023|C_AA006520.1|2023-03-08		2023/3/8	China	Homo sapiens	Complete	29685	22B (Omicron)	BF.7.14
CHN/ZJK-134/2023|C_AA006521.1|2023-03-08		2023/3/8	China	Homo sapiens	Complete	29685	22B (Omicron)	BF.7.14
CHN/ZJK-135/2023|C_AA006522.1|2023-03-08		2023/3/8	China	Homo sapiens	Complete	29685	22B (Omicron)	BF.7.14
CHN/ZJK-136/2023|C_AA006523.1|2023-03-08		2023/3/8	China	Homo sapiens	Complete	29685	22B (Omicron)	BF.7.14
CHN/ZMDCDC-101/2023|C_AA011824.1|2023-03-03		2023/3/3	China	Homo sapiens	Complete	29731	22B (Omicron)	BF.7.14
CHN/ZMDCDC-52/2023|C_AA004755.1|2023-03-09		2023/3/9	China	Homo sapiens	Complete	29769	22B (Omicron)	BF.7.14
CHN/ZMDCDC-54/2023|C_AA004756.1|2023-03-12		2023/3/12	China	Homo sapiens	Complete	29768	22B (Omicron)	BF.7.14
CHN/ZMDCDC-60/2023|C_AA004760.1|2023-03-09		2023/3/9	China	Homo sapiens	Complete	29769	22B (Omicron)	BF.7.14
CHN/ZMDCDC-91/2023|C_AA011829.1|2023-03-24		2023/3/24	China	Homo sapiens	Complete	29731	22B (Omicron)	BF.7.14
CHN/ZMDCDC-93/2023|C_AA011831.1|2023-03-23		2023/3/23	China	Homo sapiens	Complete	29731	22B (Omicron)	BF.7.14
CHN/ZMDCDC-94/2023|C_AA011832.1|2023-03-20		2023/3/20	China	Homo sapiens	Complete	29731	22B (Omicron)	BF.7.14
CHN/ZMDCDC-97/2023|C_AA011834.1|2023-03-22		2023/3/22	China	Homo sapiens	Complete	29731	22B (Omicron)	BF.7.14
CHN/ZMDCDC-98/2023|C_AA011835.1|2023-03-22		2023/3/22	China	Homo sapiens	Complete	29731	22B (Omicron)	BF.7.14
CHN/ZMDCDC-99/2023|C_AA011836.1|2023-03-12		2023/3/12	China	Homo sapiens	Complete	29740	22B (Omicron)	BF.7.14
CHN/ZYCDC-KY0300/2022|C_AA011581.1|2022-12-17		2022/12/17	China	Homo sapiens	Complete	29768	22B (Omicron)	BF.7.14
CHN/ZZ20230216-2/2023|C_AA005621.1|2023-02-14		2023/2/14	China	Homo sapiens	Complete	29795	22B (Omicron)	BF.7.14
CHN/ZZ20230216-3/2023|C_AA005622.1|2023-02-14		2023/2/14	China	Homo sapiens	Complete	29796	22B (Omicron)	BF.7.14
CHN/ZZ23-332/2023|C_AA005229.1|2023-02-20		2023/2/20	China	Homo sapiens	Complete	29796	22B (Omicron)	BF.7.14
CHN/hscdc48/2023|C_AA003415.1|2023-02-23		2023/2/23	China	Homo sapiens	Complete	29685	22B (Omicron)	BF.7.14
CHN/hscdc49/2023|C_AA003416.1|2023-02-22		2023/2/22	China	Homo sapiens	Complete	29685	22B (Omicron)	BF.7.14
CHN/hscdc50/2023|C_AA003417.1|2023-03-11		2023/3/11	China	Homo sapiens	Complete	29685	22B (Omicron)	BF.7.14
CHN/hscdc51/2023|C_AA003418.1|2023-02-23		2023/2/23	China	Homo sapiens	Complete	29685	22B (Omicron)	BF.7.14
CHN/hscdc52/2023|C_AA003429.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29685	22B (Omicron)	BF.7.14
CHN/hscdc54/2023|C_AA003431.1|2023-03-22		2023/3/22	China	Homo sapiens	Complete	29685	22B (Omicron)	BF.7.14
CHN/nd20230031/2023|C_AA005636.1|2023-01-06		2023/1/6	China	Homo sapiens	Complete	29757	22B (Omicron)	BF.7.14
CHN/nd20230042/2023|C_AA005639.1|2023-01-10		2023/1/10	China	Homo sapiens	Complete	29790	22B (Omicron)	BF.7.14
CHN/zk1/2023|C_AA015865.1|2023-04-04		2023/4/4	China	Homo sapiens	Complete	29743	22B (Omicron)	BF.7.14
CHN/zk2/2023|C_AA015866.1|2023-04-05		2023/4/5	China	Homo sapiens	Complete	29768	22B (Omicron)	BF.7.14
CHN/zz23-97/2023|C_AA005650.1|2023-01-16		2023/1/16	China	Homo sapiens	Complete	29793	22B (Omicron)	BF.7.14
hCoV-19/Beijing/BJCDC-0161/2023	EPI_ISL_16579377	2023/1/3	China	Human		29772	GRA	BF.7.14
hCoV-19/Beijing/BJCDC-0096/2023	EPI_ISL_16579352	2023/1/3	China	Human		29804	GRA	BF.7.14
hCoV-19/Jiangxi/NCDC-006/2023	EPI_ISL_16597037	2023/1/5	China	Human		29802	GRA	BF.7.14
hCoV-19/Anhui/HNCDC-2/2023	EPI_ISL_16595786	2023/1/2	China	Human		29772	GRA	BF.7.14
hCoV-19/Tianjin/TJCDC-065/2023	EPI_ISL_16597951	2023/1/1	China	Human		29708	GRA	BF.7.14
hCoV-19/Shandong/SDCDC-0169/2022	EPI_ISL_16604541	2022/12/27	China	Human		29777	GRA	BF.7.14
hCoV-19/Shandong/SDCDC-0097/2022	EPI_ISL_16604496	2022/12/27	China	Human		29597	GRA	BF.7.14
hCoV-19/Beijing/CPL-12-68/2022	EPI_ISL_16348521	2022/12/24	China	Human		29768	GRA	BF.7.14
hCoV-19/Beijing/CPL-12-56/2022	EPI_ISL_16348509	2022/12/22	China	Human		29661	GRA	BF.7.14
hCoV-19/Beijing/CPL-12-64/2022	EPI_ISL_16348517	2022/12/19	China	Human		29766	GRA	BF.7.14
hCoV-19/Fujian/FPCDCP-17/2022	EPI_ISL_16334618	2022/12/22	China	Human		29789	GRA	BF.7.14
hCoV-19/Fujian/FPCDCP-35/2022	EPI_ISL_16334629	2022/12/21	China	Human		29786	GRA	BF.7.14
hCoV-19/Jiangxi/JCDC-ML1180/2022	EPI_ISL_16597068	2022/12/28	China	Human		29785	GRA	BF.7.14
hCoV-19/Jiangxi/JCDC-ML1172/2022	EPI_ISL_16597066	2022/12/28	China	Human		29787	GRA	BF.7.14
hCoV-19/Jiangxi/JXCDC-666/2022	EPI_ISL_16597090	2022/12/28	China	Human		29784	GRA	BF.7.14
hCoV-19/Jiangxi/GCDC-019/2023	EPI_ISL_16596997	2023/1/3	China	Human		29769	GRA	BF.7.14
